Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/02/2020,0,77.25,7.14804225,5.5,29.8,19.4,12,22.22,23.89,26.11,27.22,28.89,30.0,1.966667,Summer
83936,02/02/2020,0,72.5,7.79425515,6,30.6,19.4,22,21.11,23.89,26.11,27.78,30.0,31.11,2.366667,Summer
83936,03/02/2020,0,78.25,6.79803558,5,31,21.6,32,23.89,25.0,27.22,27.78,30.0,30.0,2.566667,Summer
83936,04/02/2020,0,72,9.24203318,1.66,31.8,20.8,42,25.0,27.22,27.78,28.89,30.0,31.11,3.2,Summer
83936,05/02/2020,0,70.75,9.2797082,2.33,33.8,21.4,52,27.78,30.0,31.11,32.22,32.78,32.78,2.466667,Summer
83936,06/02/2020,0,71.25,9.72322119,2.34,34,22,62,27.78,30.0,32.22,32.78,33.89,33.89,1.3,Summer
83936,07/02/2020,0,75.75,8.79684811,2.35,33.4,23.2,72,27.22,28.89,30.0,31.11,32.78,32.22,1.366667,Summer
83936,08/02/2020,0,80.5,7.4278705,3.66,34.8,23.2,82,28.89,31.11,32.78,32.22,32.22,33.89,1.9,Summer
83936,09/02/2020,14,69.25,7.1108945,5.66,29.2,21.6,92,22.78,23.89,25.0,26.11,27.22,28.89,3.033333,Summer
83936,10/02/2020,0,69.75,6.99186816,6.33,27.6,17.4,102,20.0,22.22,22.78,25.0,26.11,26.11,2.9,Summer
83936,11/02/2020,0,66.75,8.04336968,5.66,28.8,16.4,112,20.0,22.22,23.89,25.0,27.78,28.89,3.266667,Summer
83936,12/02/2020,0,78,9.20336907,1,29.6,17.6,122,22.22,23.89,26.11,27.22,27.78,28.89,3.033333,Summer
83936,13/02/2020,0,71.25,10.70350677,1.33,33.4,19,132,23.89,27.22,28.89,31.11,32.78,32.78,1.966667,Summer
83936,14/02/2020,0,69.25,5.99500449,7.66,29.8,20.2,142,27.78,27.22,28.89,30.0,30.0,30.0,2.366667,Summer
83936,15/02/2020,0.1,78.25,5.85989444,8.33,32.2,22,152,23.89,25.0,27.22,28.89,30.0,31.11,1.1,Summer
83936,16/02/2020,0,74.25,8.41576155,4,33.2,24.6,162,27.22,28.89,31.11,32.22,32.78,33.89,1.8,Summer
83936,17/02/2020,19.1,83.75,3.39691357,10,32.4,23.2,172,27.78,28.89,31.11,32.78,28.89,30.0,1.766667,Summer
83936,18/02/2020,5.6,89,4.28859085,6.66,30.8,20.6,182,21.11,21.11,21.11,22.22,22.78,25.0,1.9,Summer
83936,19/02/2020,15,76,6.85666956,6,28.8,19,192,22.78,23.89,25.0,27.22,27.78,28.89,1,Summer
83936,20/02/2020,0,71.5,8.88295158,3,29.8,16.2,202,22.78,26.11,27.22,27.22,28.89,28.89,1.533333,Summer
83936,21/02/2020,0,61,10.33010751,1.33,24.2,14.8,212,18.89,20.0,21.11,22.22,22.78,22.78,2.633333,Summer
83936,22/02/2020,0,70.75,10.23952786,0,23,9.8,222,16.11,18.89,18.89,20.0,22.22,22.22,1.666667,Summer
83936,23/02/2020,0,72.5,8.87813742,2,26.4,12,232,22.78,23.89,23.89,26.11,27.22,27.22,2.366667,Summer
83936,24/02/2020,0,70.5,10.64378158,2.66,32.8,15.6,242,21.11,23.89,27.22,28.89,31.11,32.22,1.733333,Summer
83936,25/02/2020,0,74.25,9.44277857,2.33,33,21,252,26.11,27.78,30.0,31.11,32.22,32.78,1.566667,Summer
83936,26/02/2020,3.4,70.75,6.59014568,6.66,27.8,18.4,262,20.0,22.22,23.89,25.0,27.22,27.22,3.466667,Summer
83936,27/02/2020,0,70.75,10.12310733,2,28.2,13.4,272,21.11,25.0,27.22,27.22,27.22,27.78,0.5,Summer
83936,28/02/2020,0,69.25,10.74451131,0.66,29.8,14.6,282,23.89,27.22,27.78,28.89,30.0,30.0,1,Summer
83936,29/02/2020,0,61,12.10019713,1,31,14.2,292,20.0,25.0,27.22,27.78,30.0,30.0,1.966667,Summer
