Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/06/2020,0.6,80.25,4.60331408,6.5,14.4,6.4,16,11.11,12.22,12.78,12.78,13.89,13.89,1.02888,Autumn
83936,02/06/2020,0,90.5,2.48421722,6.2,13.6,3.8,26,12.78,12.78,13.89,15.0,13.89,7.78,0.8574,Autumn
83936,03/06/2020,0,85.75,8.68209657,1.3,18,4.4,36,8.89,11.11,15.0,16.11,17.22,17.78,1.20036,Autumn
83936,04/06/2020,0,84,5.26189418,5.6,20,9.6,46,13.89,16.11,17.22,17.78,20.0,20.0,2.22924,Autumn
83936,05/06/2020,20.6,96.5,0,10,17.8,14.8,56,17.22,17.22,17.22,17.22,17.22,17.22,1.7148,Autumn
83936,06/06/2020,25.2,93,0,10,15.8,12.2,66,15.0,16.11,16.11,16.11,16.11,13.89,2.5722,Autumn
83936,07/06/2020,8.4,89.5,0,10,18.2,13.6,76,17.78,17.78,12.78,12.22,11.11,10.0,1.02888,Autumn
83936,08/06/2020,0,92.75,3.50246514,6.2,19.4,6.8,86,16.11,16.11,18.89,18.89,17.22,15.0,0.34296,Autumn
83936,09/06/2020,0,95,1.74245442,8,16.4,13.8,96,16.11,15.0,15.0,16.11,16.11,17.22,1.88628,Autumn
83936,10/06/2020,0,95.75,0.760622,9,16.2,12.6,106,16.11,16.11,17.22,16.11,16.11,16.11,2.22924,Autumn
83936,11/06/2020,0.7,95.75,1.59769207,9,21.8,15,116,17.78,18.89,18.89,21.11,22.22,20.0,1.54332,Autumn
83936,12/06/2020,0,66.25,4.42209814,9.5,30.4,16.4,126,28.89,30.0,30.0,30.0,30.0,28.89,2.5722,Autumn
83936,13/06/2020,4.9,79.5,3.61104258,8.5,25.4,14.6,136,15.0,16.11,16.11,16.11,16.11,16.11,0.8574,Autumn
83936,14/06/2020,0,82,8.00794863,0,12.8,1.6,146,10.0,11.11,12.22,12.78,12.78,12.22,1.37184,Autumn
83936,15/06/2020,0,96,2.2271819,6.2,12.4,4.8,156,10.0,11.11,11.11,11.11,11.11,11.11,2.40072,Autumn
83936,16/06/2020,3,85,4.94593001,4.25,25.4,11,166,22.22,22.78,26.11,22.22,20.0,20.0,1.54332,Autumn
83936,17/06/2020,0,64,6.62422807,5.5,27.4,18.6,176,23.89,25.0,26.11,27.22,27.22,22.78,3.4296,Autumn
83936,18/06/2020,0,71.25,3.42281261,7.25,27.4,21,186,27.22,27.22,26.11,26.11,23.89,22.22,5.1444,Autumn
83936,19/06/2020,0,76.5,4.83103019,8.25,26.2,14.4,196,20.0,21.11,22.78,22.78,25.0,22.78,3.77256,Autumn
83936,20/06/2020,0,58.5,7.83777423,7.25,30.2,25.4,206,23.89,25.0,28.89,28.89,30.0,28.89,3.25812,Autumn
83936,21/06/2020,0,60.5,9.91098965,1.25,30.4,24,216,27.78,28.89,28.89,31.11,30.0,30.0,4.80144,Autumn
83936,22/06/2020,0,91,4.42537005,5.25,24.8,18.8,226,20.0,21.11,22.22,22.78,22.78,22.78,2.22924,Winter
83936,23/06/2020,0,57.25,9.32617034,3.33333,29.4,17.4,236,26.11,27.78,27.78,30.0,28.89,27.78,3.4296,Winter
83936,24/06/2020,0,48.5,7.93010436,3.33333,29.6,20.8,246,28.89,28.89,27.22,22.78,26.11,26.11,4.11552,Winter
83936,25/06/2020,22,92.75,0.08518851,9.25,27.6,16,256,17.22,16.11,15.0,13.89,13.89,13.89,1.54332,Winter
83936,26/06/2020,2.5,85.75,4.37625091,5.25,12.6,5.2,266,8.89,11.11,12.78,12.22,8.89,7.22,0.68592,Winter
83936,27/06/2020,0,83.25,4.1802636,3.33333,14.6,5,276,13.89,13.89,13.89,11.11,7.22,7.22,1.7148,Winter
83936,28/06/2020,0,88,6.76814858,1.25,16,3.6,286,12.22,13.89,16.11,16.11,16.11,15.0,2.22924,Winter
83936,29/06/2020,0,99.5,2.16307943,6.66667,11.6,7.8,296,8.89,8.89,8.89,12.22,11.11,11.11,2.5722,Winter
83936,30/06/2020,79.8,94.5,0,10,15.6,11.2,306,12.77,13.88,15.0,15.0,15.0,15.0,2.74368,Winter
