Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/10/2019,0,35.75,10,0,37.22,24.8,110,31.11,32.78,35.0,37.22,37.22,35.0,5.633333,Spring
83936,02/10/2019,6.6,96.75,2.01471061,6.66667,34,17.6,210,20.0,20.0,17.78,17.22,17.78,17.78,1.033333,Spring
83936,03/10/2019,34,93,0,10,18.8,16.4,310,17.78,17.22,17.78,17.78,17.78,17.78,2.966667,Spring
83936,04/10/2019,58.4,96,1.0030101,10,25,16.2,410,17.78,17.78,18.89,20.0,22.22,23.89,1.3,Spring
83936,05/10/2019,33.5,94,0.55832964,10,20.4,16.2,510,17.22,17.22,17.78,17.78,18.89,17.78,0.833333,Spring
83936,06/10/2019,1.4,90,1.94230645,10,18.8,13.8,610,15.0,15.0,16.11,17.22,17.78,17.78,1.7,Spring
83936,07/10/2019,0,86.25,6.1170994,7,26,12.4,710,13.89,17.22,20.0,21.11,22.22,23.89,0.966667,Spring
83936,08/10/2019,0,77,9.68085153,1.33333,27,12,810,21.11,22.78,25.0,25.0,26.11,27.22,0.533333,Spring
83936,09/10/2019,0,71.25,10.82438586,1.33333,28.8,13.2,910,20.0,21.11,23.89,26.11,27.78,27.78,1.433333,Spring
83936,10/10/2019,0,77,9.98344976,2.33333,30.8,15,1010,20.0,21.11,23.89,27.22,30.0,30.0,1.833333,Spring
83936,11/10/2019,0,53.5,11.60967084,4,37.22,19.4,1110,32.22,33.89,36.11,37.22,37.22,36.11,2.366667,Spring
83936,12/10/2019,0,47,11.67565549,4.33333,37.6,20.4,1210,32.22,33.89,36.11,37.22,37.78,37.78,2.8,Spring
83936,13/10/2019,0,78,6.25887384,4,36.2,21.8,1310,32.22,35.0,37.22,32.78,32.22,32.22,3.566667,Spring
83936,14/10/2019,9.4,95,0.43887003,8.33333,22,12.6,1410,17.22,16.11,16.11,15.0,13.89,13.89,4,Spring
83936,15/10/2019,22.8,84.5,1.55072131,10,19,13,1510,15.0,16.11,16.11,17.22,17.78,17.78,4.4,Spring
83936,16/10/2019,46,95.5,0.64348649,10,20,16.11,1610,17.78,18.89,20.0,20.0,20.0,18.89,2.033333,Spring
83936,17/10/2019,3.8,99,1.40088611,9.66667,21.2,18,1710,18.89,18.89,21.11,22.22,21.11,20.0,1.766667,Spring
83936,18/10/2019,29.2,85.5,3.81268253,8.66667,24.8,19,1810,20.0,20.0,22.22,22.78,22.78,25.0,1.8,Spring
83936,19/10/2019,0,68.25,8.11691824,4.33333,23.2,15,1910,18.89,20.0,21.11,21.11,22.22,22.78,2.266667,Spring
83936,20/10/2019,0,77,5.36946508,6.33333,19,13,2010,13.89,16.11,17.22,17.22,17.22,17.78,4.066667,Spring
83936,21/10/2019,18.6,95.5,1.20236167,9.66667,18.8,13.4,2110,13.89,15.0,15.0,16.11,16.11,17.22,2.833333,Spring
83936,22/10/2019,3.9,81.75,5.49768176,7.66667,22.6,13.4,2210,15.0,16.11,17.22,18.89,20.0,21.11,1.3,Spring
83936,23/10/2019,0,74.75,10.21480723,2.66667,25.2,11.4,2310,12.78,16.11,17.78,20.0,22.22,23.89,1.433333,Spring
83936,24/10/2019,0,70.75,10.91816199,1.33333,26.8,11.4,2410,20.0,22.78,23.89,26.11,26.11,26.11,1.1,Spring
83936,25/10/2019,0,65.5,10,0,26.6,11,2510,18.89,21.11,22.78,23.89,25.0,26.11,1.866667,Spring
83936,26/10/2019,0,68.25,10,0,30.6,11.4,2610,18.89,25.0,27.22,27.78,30.0,27.78,2.466667,Spring
83936,27/10/2019,20.6,93.75,3.14740801,6.66667,24,19,2710,18.89,18.89,18.89,18.89,18.89,20.0,1.866667,Spring
83936,28/10/2019,35.7,73,7.72924069,6.66667,34,18.4,2810,26.11,28.89,31.11,32.22,32.22,28.89,1.766667,Spring
83936,29/10/2019,0,80.75,4.76514826,6.66667,30.2,18.8,2910,18.89,20.0,20.0,20.0,22.22,23.89,4.666667,Spring
83936,30/10/2019,79.8,92.5,1.84183965,6.66667,24.4,19,3010,18.89,18.89,21.11,18.89,20.0,20.0,3.733333,Spring
83936,31/10/2019,56.6,91.25,0.82128335,10,21.6,18.4,3110,18.89,18.89,18.89,20.0,20.0,20.0,3.066667,Spring
