Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/05/2020,0,66,9.05528056,3.33333,25,13.8,15,21.11,22.78,23.89,25.0,25.0,25.0,1.20036,Autumn
83936,02/05/2020,0,71.25,10.02468159,0,22,9.2,25,17.78,18.89,20.0,21.11,22.22,22.22,2.05776,Autumn
83936,03/05/2020,0,69.25,10.59789342,0,23.6,10,35,17.78,21.11,22.22,22.78,23.89,23.89,2.05776,Autumn
83936,04/05/2020,0,93.75,2.32547308,6.66667,18.4,8.8,45,17.22,18.89,17.78,17.78,17.22,16.11,1.7148,Autumn
83936,05/05/2020,18.6,92,0.64718441,10,20.4,15,55,18.89,18.89,17.78,17.78,18.89,18.89,0.68592,Autumn
83936,06/05/2020,1.6,72.5,5.03390417,7.5,18,8.8,65,12.78,13.89,15.0,16.11,16.11,13.89,1.88628,Autumn
83936,07/05/2020,0,84.75,5.84889599,3.33333,18.2,4.8,75,15.0,17.22,17.22,17.78,17.22,15.0,1.20036,Autumn
83936,08/05/2020,0,88.25,7.85728491,0,21.6,4.2,85,16.11,17.78,21.11,21.11,16.11,13.89,0.68592,Autumn
83936,09/05/2020,0,80,8.43372799,3.33333,25.2,5.2,95,17.22,20.0,22.22,22.78,23.89,25.0,0.51444,Autumn
83936,10/05/2020,0,54.75,9.26146134,4.2,28.8,9,105,26.11,26.11,27.78,27.78,27.78,25.0,2.22924,Autumn
83936,11/05/2020,0,74.25,3.18636319,6.66667,30.4,19.4,115,28.89,28.89,27.78,23.89,22.22,20.0,2.5722,Autumn
83936,12/05/2020,43.7,97,-0.03031889,10,20.2,17.8,125,17.78,17.78,17.78,18.89,18.89,18.89,1.7148,Autumn
83936,13/05/2020,44.4,94,0.39735058,10,19.4,15.8,135,17.22,17.78,17.78,18.89,18.89,18.89,2.05776,Autumn
83936,14/05/2020,1.4,86.25,7.35178292,2.75,18.8,7.6,145,11.11,13.89,15.0,17.22,17.22,17.78,0.68592,Autumn
83937,14/05/2021,0,82,5.70293578,3.33333,19.6,4.6,155,17.78,18.89,18.89,18.89,17.22,13.89,0.938784,Autumn
83938,14/05/2022,0,81,9.10497895,0,24.4,6.6,165,17.78,22.78,22.78,23.89,23.89,22.78,2.293315,Autumn
83939,14/05/2023,0,79,8.46546919,0,27.4,8.4,175,23.89,25.0,26.11,26.11,25.0,21.11,1.29642,Autumn
83940,14/05/2024,0,81,6.64423633,0,25.4,9.4,185,25.0,25.0,25.0,23.89,18.89,16.11,3.08458,Autumn
83941,14/05/2025,0,78,8.93413517,0,28.6,13.6,195,22.78,27.22,27.78,27.78,27.78,26.11,3.66573,Autumn
83942,14/05/2026,0,64,7.6376236,3.33333,30,14.6,205,27.78,28.89,30.0,30.0,22.78,22.22,4.69392,Autumn
83943,14/05/2027,0,90,0.65082928,10,25.4,19.6,215,17.78,17.78,17.78,17.78,17.78,17.78,4.02336,Autumn
83944,14/05/2028,80.2,98,-0.81174054,10,19.2,17.2,225,17.78,17.78,17.78,17.78,17.78,17.78,1.43053,Autumn
83945,14/05/2029,16.6,92,1.39564056,8.5,17.6,13.2,235,12.78,12.78,13.89,13.89,13.89,13.89,3.26339,Autumn
83946,14/05/2030,16.3,78,1.93476113,10,17.8,11.8,245,16.11,17.22,17.22,17.78,16.11,13.89,3.08458,Autumn
83947,14/05/2031,0,68,5.73241214,2.75,20,11,255,20.0,20.0,17.78,17.22,16.11,15.0,6.7056,Autumn
83948,14/05/2032,0,82,3.26781826,6.66667,18.2,10.6,265,15.0,17.22,17.22,17.22,13.89,12.78,4.4704,Autumn
83949,14/05/2033,0,89,6.69512216,0,20.2,6.2,275,17.78,18.89,18.89,20.0,20.0,15.0,1.87757,Autumn
83950,14/05/2034,0,86,8.64704089,0.85,24.2,7.4,285,17.22,20.0,22.22,22.78,23.89,25.0,2.32461,Autumn
83951,14/05/2035,0,81,7.00811732,0,27.4,8,295,23.89,26.11,27.22,26.11,22.78,15.0,2.68224,Autumn
83952,14/05/2036,0,85,5.71194148,5,26.8,9.2,305,20.0,22.22,23.89,26.11,22.78,18.89,0.938784,Autumn
83953,14/05/2037,0,90,2.01044818,6.66667,15.8,12,315,15.0,15.0,15.0,13.89,13.89,12.22,3.08458,Autumn
