Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/03/2020,0,58.75,12.98944588,0,31,14,13,21.11,23.89,26.11,27.78,31.11,30.0,1.766667,Summer
83936,02/03/2020,0,66,11.37799336,0,30.4,17.4,23,22.22,26.11,27.78,27.78,30.0,30.0,2.866667,Summer
83936,03/03/2020,0,68,11.87358887,0,30.6,16.8,33,21.11,23.89,27.22,27.78,30.0,31.11,2.033333,Summer
83936,04/03/2020,0,66.5,9.04663245,5,29.4,16.4,43,17.78,18.89,21.11,22.78,25.0,27.78,1.766667,Summer
83936,05/03/2020,0,61.5,12.05498922,0,28.8,16.2,53,20.0,22.22,23.89,26.11,27.22,27.78,2.533333,Summer
83936,06/03/2020,0,65,11.11199182,1.33333,32,17.4,63,22.22,23.89,26.11,27.78,30.0,31.11,2.966667,Summer
83936,07/03/2020,0,67.5,9.31904979,5.33333,32.6,17.8,73,20.0,23.89,26.11,27.78,30.0,31.11,1.8,Summer
83936,08/03/2020,0,60.5,12.85878042,0.666667,35,18.8,83,25.0,27.78,31.11,32.22,32.78,33.89,0.866667,Summer
83936,09/03/2020,0,61.75,13.20146014,1,36,17,93,25.0,28.89,32.22,35.0,36.11,36.11,1.333333,Summer
83936,10/03/2020,0,66.75,10.76593049,1.66667,35.2,17.6,103,28.89,32.22,35.0,35.0,35.0,35.0,3.1,Summer
83936,11/03/2020,0,66,8.35974457,6,34.4,20.4,113,26.11,28.89,31.11,32.78,33.89,32.22,2.966667,Summer
83936,12/03/2020,0,61,13.18954809,2,38.6,20,123,25.0,30.0,32.78,36.11,37.78,38.89,1.333333,Summer
83936,13/03/2020,0,54.5,10.65711174,4.33333,38.4,19.6,133,33.89,35.0,37.22,37.78,37.78,37.22,2.266667,Summer
83936,14/03/2020,0,62.5,13.48504204,1,40,22,143,26.11,33.89,37.22,37.78,38.89,40.0,1.533333,Summer
83936,15/03/2020,0,85.5,3.65126267,10,31,22.4,153,23.89,28.89,31.11,31.11,30.0,28.89,1.566667,Summer
83936,16/03/2020,27.9,87.75,2.34139677,8,23.6,20.4,163,21.11,21.11,22.22,22.78,22.78,22.78,3,Summer
83936,17/03/2020,0,79,6.86833495,6,30,18,173,21.11,22.78,25.0,27.22,27.78,30.0,3,Summer
83936,18/03/2020,6.8,83.25,6.47516106,4.33333,29.8,20.6,183,25.0,27.22,27.78,28.89,27.78,28.89,1.2,Summer
83936,19/03/2020,0,68.75,7.08163869,7,29.4,21.6,193,23.89,26.11,27.78,28.89,28.89,28.89,1.633333,Summer
83936,20/03/2020,0,77.5,6.60398079,4.66667,25.8,16.6,203,22.22,22.78,25.0,25.0,23.89,23.89,1.666667,Autumn
83936,21/03/2020,0,74.25,9.73691285,1,28.6,14.2,213,25.0,26.11,27.78,27.78,28.89,28.89,0.866667,Autumn
83936,22/03/2020,0,67.75,9.18035263,4,30.6,15,223,25.0,27.78,28.89,30.0,31.11,31.11,2.3,Autumn
83936,23/03/2020,0,67,7.77032862,2.33333,32.6,18.4,233,31.11,31.11,32.22,32.22,23.89,22.22,2.733333,Autumn
83936,24/03/2020,0,57.5,10.96754907,1.33333,34.4,13.4,243,30.0,32.22,33.89,32.78,31.11,27.78,1.833333,Autumn
83936,25/03/2020,0,61.75,11.4672665,2.33333,34,17,253,22.78,32.22,32.78,32.78,30.0,30.0,1.233333,Autumn
83936,26/03/2020,0,62.25,8.31041712,7.66667,32.6,16.8,263,26.11,28.89,31.11,32.22,31.11,32.22,1.466667,Autumn
83936,27/03/2020,0,63.75,9.14057094,7.33333,32.4,19.8,273,21.11,23.89,26.11,31.11,32.22,32.78,2,Autumn
83936,28/03/2020,0,65.75,7.81280639,7.66667,34.2,20,283,26.11,27.78,30.0,32.22,32.78,32.78,2.033333,Autumn
83936,29/03/2020,5.1,83.5,5.05681238,9,30.4,20.4,293,22.22,23.89,27.22,27.78,28.89,31.11,0.766667,Autumn
83936,30/03/2020,0,79.5,7.72984343,4,33.8,20.2,303,23.89,30.0,31.11,31.11,32.22,27.78,0.866667,Autumn
83936,31/03/2020,0,66.5,7.09633651,4.33333,33,20.2,313,30.0,32.22,32.22,30.0,27.78,27.22,3.3,Autumn
