Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/01/2020,5.2,73.5,6.09857058,6,31.6,24.8,11,26.11,27.22,27.22,28.89,30.0,30.0,3.166667,Summer
83936,02/01/2020,0,62.75,5.95049937,7.66667,29,20.6,21,22.78,25.0,25.0,26.11,26.11,27.78,5.466667,Summer
83936,03/01/2020,0,65.5,11.3,5.33333,29.2,18.8,31,21.11,23.89,26.11,25.0,27.22,27.78,4.5,Summer
83936,04/01/2020,0,64.5,9.27765607,3,30.4,20,41,26.11,27.22,27.78,30.0,30.0,27.78,4.133333,Summer
83936,05/01/2020,0,63.5,11.06624327,3,32.6,19.2,51,26.11,28.89,30.0,31.11,31.11,30.0,1.866667,Summer
83936,06/01/2020,0,69,7.92554186,6.33333,35.8,22,61,27.78,31.11,32.22,32.22,35.0,36.11,2.033333,Summer
83936,07/01/2020,4,65,7.54060885,7.33333,31.2,21,71,22.78,25.0,26.11,27.22,27.78,27.78,1.2,Summer
83936,08/01/2020,0,60.5,11.5123199,1.33333,33,17.4,81,22.22,23.89,26.11,27.22,28.89,30.0,2.6,Summer
83936,09/01/2020,0,80.25,9.21082173,3.66667,36.2,20,91,23.89,27.78,30.0,32.78,33.89,36.11,1.533333,Summer
83936,10/01/2020,42.5,90.75,3.38316247,7.33333,33,21.6,101,27.78,30.0,28.89,31.11,30.0,32.22,1.533333,Summer
83936,11/01/2020,94.4,83.25,8.71504024,8.66667,30.6,21.8,111,22.78,25.0,27.22,27.22,27.78,28.89,0.866667,Summer
83936,12/01/2020,0,75.25,7.8795914,3.66667,31,23,121,27.22,27.78,30.0,31.11,31.11,31.11,2.1,Summer
83936,13/01/2020,0,64.25,9.50875462,2.66667,31,19.8,131,22.22,23.89,26.11,27.22,27.78,28.89,4.166667,Summer
83936,14/01/2020,0,82.5,8.50809862,3,34,19.2,141,22.22,25.0,27.22,28.89,30.0,32.22,1.8,Summer
83936,15/01/2020,8.4,86.5,4.48187309,8,34.2,23.8,151,27.78,30.0,31.11,32.78,32.78,35.0,2.3,Summer
83936,16/01/2020,49.1,78,2.49408687,10,24.8,19.8,161,20.0,22.22,22.78,22.78,22.78,23.89,2.733333,Summer
83936,17/01/2020,0,72.25,8.71504024,3.33333,25.2,13.4,171,17.22,18.89,21.11,22.78,23.89,23.89,2.3,Summer
83936,18/01/2020,0,76.25,11.8,2.66667,29,16,181,17.78,20.0,22.78,23.89,26.11,27.22,2.3,Summer
83936,19/01/2020,0,68.75,9.33783306,4.33333,33,20.2,191,22.22,22.78,26.11,27.78,30.0,31.11,1.966667,Summer
83936,20/01/2020,0,86.25,5.46276418,7.33333,33,22.2,201,25.0,27.22,30.0,31.11,32.22,32.78,1.566667,Summer
83936,21/01/2020,12,91.75,3.37797034,7,30.4,21.8,211,23.89,25.0,27.22,27.78,28.89,23.89,1.633333,Summer
83936,22/01/2020,56.6,85.75,1.8,9.33333,26,20.4,221,21.11,21.11,22.22,21.11,21.11,22.78,2.433333,Summer
83936,23/01/2020,5,75.25,10.5,3.66667,28.2,19,231,21.11,22.78,25.0,25.0,26.11,27.22,3.966667,Summer
83936,24/01/2020,0,79,11.6,3,28.2,17.8,241,21.11,22.22,23.89,25.0,26.11,27.22,1.633333,Summer
83936,25/01/2020,0,67.25,11.777696,0.666667,32,16.6,251,21.11,22.78,26.11,27.78,28.89,28.89,1.2,Summer
83936,26/01/2020,0,71.75,10.7,2.66667,34,19.2,261,25.0,28.89,30.0,30.0,30.0,31.11,1.133333,Summer
83936,27/01/2020,0,64.25,8.4,6,32,22.6,271,26.11,28.89,28.89,31.11,31.11,31.11,2.2,Summer
83936,28/01/2020,0,78,11.3,7,29.8,19.8,281,22.22,22.78,23.89,26.11,27.22,27.78,2.333333,Summer
83936,29/01/2020,1.9,81.25,5.47312459,7,30,21.6,291,22.22,22.78,23.89,23.89,27.22,27.78,0.833333,Summer
83936,30/01/2020,1,81.5,4.48078935,8,30,22.8,301,25.0,26.11,27.22,27.22,27.78,27.78,1.4,Summer
83936,31/01/2020,5.1,81.75,8.8,9,30.6,21.6,311,22.78,22.78,25.0,27.22,27.22,28.89,1.481107,Summer
