Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/09/2019,0,80.5,5.85460274,5.33333,18.8,10.2,19,13.89,15.0,17.22,17.22,17.78,17.78,0.533333,Winter
83936,02/09/2019,0,78.75,9.78395131,1,19.4,3.8,29,10.0,12.78,16.11,17.78,18.89,18.89,0.766667,Winter
83936,03/09/2019,0,74.5,7.69425153,3.66667,17.6,6.4,39,12.22,12.78,15.0,16.11,17.22,17.22,1.033333,Winter
83936,04/09/2019,0,70.5,10.2310835,0,16.4,3.6,49,8.89,11.11,12.78,13.89,15.0,15.0,0.866667,Winter
83936,05/09/2019,0,67.75,6.24980023,6.66667,15,5,59,7.78,10.0,12.22,12.78,13.89,15.0,3.3,Winter
83936,06/09/2019,0,92.5,0.66046898,10,14.6,10.2,69,11.11,12.78,12.78,13.89,12.78,12.78,2.3,Winter
83936,07/09/2019,5.9,95.5,1.87103474,7.66667,19.8,13.2,79,18.89,18.89,18.89,18.89,20.0,18.89,1.3,Winter
83936,08/09/2019,14,82.5,4.68942601,10,30.6,17.4,89,20.0,22.78,25.0,31.11,31.11,27.78,1.033333,Winter
83936,09/09/2019,1.7,55.5,6.1657588,9.66667,34.2,20,99,30.0,30.0,32.22,33.89,33.89,33.89,6.833333,Winter
83936,10/09/2019,0,89.75,2.08237472,9.66667,23.8,16.6,109,17.22,17.78,18.89,20.0,20.0,20.0,2.233333,Winter
83936,11/09/2019,23.8,97.25,0.4006018,10,18.6,14.2,119,15.0,16.11,15.0,17.22,17.78,18.89,1.866667,Winter
83936,12/09/2019,31.4,89.75,2.27392107,9,21.4,15.6,129,16.11,16.11,17.22,17.78,20.0,21.11,1.333333,Winter
83936,13/09/2019,1.6,82,3.44711517,7.33333,17.6,14.4,139,16.11,16.11,17.22,17.22,17.22,17.78,2.9,Winter
83936,14/09/2019,0,91.75,2.49797481,7.66667,18.6,12.4,149,15.0,17.22,18.89,17.78,17.78,17.78,2.6,Winter
83936,15/09/2019,0.8,85.75,8.84428462,2.33333,29.2,15.2,159,17.78,21.11,22.78,26.11,27.78,28.89,1.5,Winter
83936,16/09/2019,0,79,2.46969386,6,32,15.8,169,32.78,27.78,21.11,21.11,23.89,22.78,5.433333,Winter
83936,17/09/2019,3,91.75,1.12418197,10,16,11.4,179,12.78,12.78,13.89,15.0,16.11,16.11,3.2,Winter
83936,18/09/2019,7.6,81.75,4.79429245,7.66667,22.2,12.6,189,13.89,15.0,16.11,17.78,20.0,20.0,0.533333,Winter
83936,19/09/2019,0,84.25,8.18961984,3.33333,24.2,8.6,199,12.22,16.11,18.89,20.0,22.22,23.89,1.5,Winter
83936,20/09/2019,0,67.5,8.20442198,3.33333,19,11.8,209,12.78,13.89,16.11,17.22,17.78,17.78,3.033333,Winter
83936,21/09/2019,0,72,10.41720939,0,19.2,5.2,219,11.11,12.78,15.0,16.11,17.78,17.78,1.3,Winter
83936,22/09/2019,0,71.25,11.05618256,0,21.8,5,229,13.89,16.11,17.78,21.11,22.22,22.22,1.966667,Spring
83936,23/09/2019,0,64.25,9.70453763,2.66667,20.4,5.6,239,11.11,13.89,16.11,17.22,18.89,20.0,3.3,Spring
83936,24/09/2019,0,70,8.20302293,6.33333,24.6,9.2,249,8.89,12.22,13.89,17.22,20.0,22.22,1.666667,Spring
83936,25/09/2019,0,77.25,10.94069177,0,24.4,9,259,15.0,17.22,20.0,22.22,23.89,25.0,1.1,Spring
83936,26/09/2019,0,75,11.1518025,0.333333,26.8,8.8,269,16.11,18.89,22.22,23.89,26.11,26.11,1.366667,Spring
83936,27/09/2019,0,65,8.53086736,3.33333,22,11.6,279,15.0,17.22,18.89,18.89,21.11,21.11,3.7,Spring
83936,28/09/2019,0,73.75,9.66149316,1.33333,25,12.2,289,16.11,18.89,21.11,22.22,23.89,23.89,2.533333,Spring
83936,29/09/2019,0,72.5,11.30125928,0,27.6,11.6,299,17.22,18.89,22.22,23.89,25.0,26.11,2.2,Spring
83936,30/09/2019,0,51,14.09711083,0,35.4,12.8,309,25.0,27.78,30.0,32.78,35.0,36.11,4.4,Spring
