Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/04/2020,0,71.5,7.80893222,4,32.6,21,14,27.22,28.89,31.11,32.22,32.22,27.78,2.22924,Autumn
83936,02/04/2020,0,65.25,6.6570537,7.33333,27.6,19.2,24,22.22,22.78,22.78,25.0,26.11,27.22,2.5722,Autumn
83936,03/04/2020,0,77,6.82861229,5,24,13.2,34,17.22,18.89,22.22,21.11,22.78,23.89,1.7148,Autumn
83936,04/04/2020,0,70,10.8779283,1.33333,27,10,44,17.22,22.78,23.89,25.0,26.11,26.11,0.51444,Autumn
83936,05/04/2020,0,61,11.32485024,1.66667,30.2,10.4,54,22.78,27.22,28.89,30.0,30.0,28.89,2.05776,Autumn
83936,06/04/2020,24.8,88.5,3.89450671,8,26.4,16.2,64,18.89,20.0,22.22,25.0,18.89,20.0,1.20036,Autumn
83936,07/04/2020,0,70.75,10.20245308,0,21.6,9.2,74,16.11,17.78,17.78,20.0,21.11,21.11,1.88628,Autumn
83936,08/04/2020,0,79,7.54043296,0,21.8,6.8,84,20.0,21.11,21.11,21.11,20.0,13.89,1.54332,Autumn
83936,09/04/2020,0,79.75,5.55720196,2,23,8,94,20.0,22.78,20.0,16.11,16.11,15.0,0.51444,Autumn
83936,10/04/2020,0,82,4.70369767,7,23.2,10,104,18.89,20.0,22.22,21.11,22.22,22.78,1.54332,Autumn
83936,11/04/2020,0,81,6.32196119,4.66667,24.2,10.6,114,17.22,18.89,21.11,23.89,16.11,13.89,1.7148,Autumn
83936,12/04/2020,0,76,8.85113097,3.33333,25.6,10.2,124,13.89,16.11,22.78,23.89,26.11,20.0,1.88628,Autumn
83936,13/04/2020,0,69.5,3.88634319,6.33333,31,14.8,134,30.0,31.11,31.11,23.89,22.78,22.22,1.54332,Autumn
83936,14/04/2020,0,82.5,2.47105422,10,22.2,13.8,144,15.0,16.11,17.22,17.22,16.11,16.11,1.54332,Autumn
83936,15/04/2020,0,53.25,11.51455261,1.66667,23.2,11.4,154,17.22,17.78,18.89,21.11,22.22,22.22,1.88628,Autumn
83936,16/04/2020,0,69.5,9.96446044,0,24,8.8,164,20.0,21.11,22.78,22.78,21.11,20.0,1.37184,Autumn
83936,17/04/2020,0,77.75,6.25815673,3,24.8,11.2,174,22.22,24,25.0,23.88,22.22,17.77,1.88628,Autumn
83936,18/04/2020,0,76.5,3.50717917,4,25.2,14.4,184,28.88,25.0,25.0,18.88,18.88,18.88,2.22924,Autumn
83936,19/04/2020,0,71.25,11.19666188,0,29.2,14.8,194,22.78,25.0,27.78,28.89,28.89,27.78,0.68592,Autumn
83936,20/04/2020,0,68.75,11.16272887,0,30.2,11.2,204,22.78,26.11,27.78,28.89,30.0,26.11,0.8574,Autumn
83936,21/04/2020,0,69.5,12.83377754,0,30.4,12,214,17.78,22.22,27.78,28.89,30.0,30.0,1.20036,Autumn
83936,22/04/2020,0,67.5,11.27780823,2.33333,30.2,11.6,224,17.78,21.11,25.0,27.22,30.0,26.11,0.17148,Autumn
83936,23/04/2020,0,65,7.45398995,4.66667,30,12.2,234,26.11,30.0,31.11,30.0,25.0,22.22,2.22924,Autumn
83936,24/04/2020,0,57.25,13.50325231,0,32.2,15,244,22.78,26.11,30.0,32.22,32.22,32.22,2.91516,Autumn
83936,25/04/2020,0,62,10.01269051,6.66667,34.2,13.8,254,22.78,25.0,28.89,32.22,32.78,33.89,1.88628,Autumn
83936,26/04/2020,10,89.25,2.91778522,7.66667,23.6,18,264,20.0,21.11,22.22,22.22,21.11,21.11,1.7148,Autumn
83936,27/04/2020,0.9,85.25,2.06010382,9,24,19.6,274,22.78,22.22,22.78,22.78,22.78,22.22,2.74368,Autumn
83936,28/04/2020,0,60.5,7.59749383,8,32,19.2,284,23.89,25.0,27.22,27.78,30.0,32.22,2.74368,Autumn
83936,29/04/2020,0,76.75,5.48937029,8,27.2,16,294,21.11,22.22,22.78,25.0,26.11,26.11,1.37184,Autumn
83936,30/04/2020,0,70.25,10.465728,0,25.6,9.8,304,20.0,22.22,22.78,23.89,25.0,23.89,1.37184,Autumn
