Data,Energia,Previsoes
01.04.2020,"12,82","12,62672865"
02.04.2020,"6,74","11,7237283"
03.04.2020,"7,75","10,7748001"
04.04.2020,"15,31","14,8973317"
05.04.2020,"14,92","15,47763782"
06.04.2020,"6,11","7,01290013"
07.04.2020,"16,31","13,65903633"
08.04.2020,"15,78","8,91629206"
09.04.2020,"11,4","6,71573181"
10.04.2020,"12,24","7,57470707"
11.04.2020,"11,79","8,67782851"
12.04.2020,"11,03","12,75827551"
13.04.2020,"11,22","6,35607599"
14.04.2020,"3,47","5,38905411"
15.04.2020,"15,3","16,37706126"
16.04.2020,"14,44","13,12732886"
17.04.2020,"13,16","8,52736515"
18.04.2020,"10,92","5,74449062"
19.04.2020,"13,31","16,10890383"
20.04.2020,"12,97","15,21489901"
21.04.2020,"12,63","18,20904529"
22.04.2020,"11,93","16,30274034"
23.04.2020,"12,3","10,43051608"
24.04.2020,"12,29","19,41196789"
25.04.2020,"11,71","15,83733927"
26.04.2020,"1,98","6,30239588"
27.04.2020,"5,96","5,7055802"
28.04.2020,"10,55","13,59821472"
29.04.2020,"6,27","9,94132118"
30.04.2020,"11,88","14,23027978"
Total:,"334,49","347,62957745"
