Data,Energia,Previsoes
30.11.2019,"19,98","14,59069507"
01.12.2019,"19,76","15,08515603"
02.12.2019,"20,58","17,76616463"
03.12.2019,"15,83","16,74521366"
04.12.2019,"18,57","13,31015031"
05.12.2019,"20,68","20,61705249"
06.12.2019,"19,88","19,08029486"
07.12.2019,"19,48","19,1824312"
08.12.2019,"19,06","17,1144367"
09.12.2019,"19,17","21,9275255"
10.12.2019,"19,16","19,77591029"
11.12.2019,"8,66","11,24339649"
12.12.2019,"20,44","16,69285887"
13.12.2019,"11,2","14,55386586"
14.12.2019,"8,97","10,5219156"
15.12.2019,"12,29","9,94549364"
16.12.2019,"17,37","17,17407115"
17.12.2019,"21,14","20,01861144"
18.12.2019,"16,63","19,08200809"
19.12.2019,"16,49","17,00593553"
20.12.2019,"11,86","8,70329109"
21.12.2019,"20,53","13,61947747"
22.12.2019,"20,93","17,22281139"
23.12.2019,"20,21","22,02453715"
24.12.2019,"19,02","22,0061936"
25.12.2019,"15,48","17,86035675"
26.12.2019,"15,98","19,76067652"
27.12.2019,"16,66","22,63356066"
28.12.2019,"18,8","19,77976331"
29.12.2019,"18,41","19,02560688"
30.12.2019,"14,93","16,20126102"
Total,"538,15","530,27072325"
