Data,Energia,Previsoes
31.12.2019,"10,89","11,38305716"
01.01.2020,"15,39","10,51211887"
02.01.2020,"17,42","16,12271142"
03.01.2020,"19,13","14,02423766"
04.01.2020,17,"16,46376667"
05.01.2020,"13,9","13,9719431"
06.01.2020,"19,5","13,21872717"
07.01.2020,"19,28","17,16420156"
08.01.2020,"13,46","15,04992974"
09.01.2020,"8,66","6,93191325"
10.01.2020,"14,31","12,21163903"
11.01.2020,"18,23","13,60571593"
12.01.2020,"20,07","14,87296372"
13.01.2020,"15,59","13,82743885"
14.01.2020,"12,41","9,71719026"
15.01.2020,"11,83","5,84319356"
16.01.2020,"20,28","13,0526784"
17.01.2020,"19,74","16,73949166"
18.01.2020,"16,98","15,60960096"
19.01.2020,"12,79","11,08629611"
20.01.2020,"7,89","7,59847032"
21.01.2020,"8,52","4,79664391"
22.01.2020,"16,84","15,13000013"
23.01.2020,"20,34","16,50869102"
24.01.2020,"19,55","17,62285418"
25.01.2020,"15,69","16,18618754"
26.01.2020,"16,25","14,37648333"
27.01.2020,"18,16","16,34095777"
28.01.2020,"9,28","10,99379527"
29.01.2020,"10,31","9,75103016"
30.01.2020,"14,37","14,25902187"
Total,"474,06","404,97295058"
