Data,Energia,Previsoes
31.01.2020,"18,59","12,20076678"
01.02.2020,"19,23","13,05125915"
02.02.2020,"16,53","12,01352819"
03.02.2020,19,"14,23758107"
04.02.2020,"14,71","14,71225964"
05.02.2020,"15,82","15,84581376"
06.02.2020,"18,06","14,61093916"
07.02.2020,"17,45","12,88019296"
08.02.2020,"14,9","12,02843124"
09.02.2020,"17,25","11,31507532"
10.02.2020,"18,71","12,70318286"
11.02.2020,19,"13,96730728"
12.02.2020,"16,53","16,28431603"
13.02.2020,"6,74","11,19714445"
14.02.2020,"10,88","11,43063392"
15.02.2020,"14,78","14,80531036"
16.02.2020,"6,29","8,1205486"
17.02.2020,"3,55","7,96007613"
18.02.2020,"18,89","11,69604904"
19.02.2020,"17,34","13,66394954"
20.02.2020,"17,83","14,95727992"
21.02.2020,"18,95","13,80772116"
22.02.2020,"19,32","12,73191944"
23.02.2020,"14,65","16,16506668"
24.02.2020,"15,7","15,43182053"
25.02.2020,"17,14","11,3587717"
26.02.2020,"18,34","15,05824913"
27.02.2020,"18,09","15,68965"
28.02.2020,"18,37","17,46837428"
Total,"462,64","387,39321832"
