Data,Energia,Previsoes
01.06.2020,"8,7","6,48736764"
02.06.2020,"8,67","3,09132802"
03.06.2020,"9,78","11,29404217"
04.06.2020,"5,86","7,88882273"
05.06.2020,"0,93","1,93922467"
06.06.2020,"2,81","1,19389106"
07.06.2020,"4,74","1,05224963"
08.06.2020,"6,54","5,49421501"
09.06.2020,"2,7","4,0726435"
10.06.2020,"2,32","2,7428316"
11.06.2020,"3,41","4,35456493"
12.06.2020,"6,4","8,62973001"
13.06.2020,"6,84","6,97326613"
14.06.2020,"9,91","9,38082794"
15.06.2020,"1,91","2,91016985"
16.06.2020,"7,88","7,90844926"
17.06.2020,"8,35","10,97220113"
18.06.2020,"5,18","7,00461872"
19.06.2020,"5,17","8,2839176"
20.06.2020,"4,96","14,31811167"
21.06.2020,"8,33","15,48857308"
22.06.2020,"6,41","8,31604141"
23.06.2020,"3,72","14,20387462"
24.06.2020,"8,28","12,72639008"
25.06.2020,"1,48","2,4923108"
26.06.2020,"5,97","5,82954919"
27.06.2020,"9,64","5,18019608"
28.06.2020,"9,58","8,45603084"
29.06.2020,"0,81","3,39103095"
30.06.2020,"0,66","0,78010801"
Total,"167,94","202,85657833"
