Data,Energia,Previsoes
31.10.2019,"15,15","6,85094181"
01.11.2019,"8,19","9,8327562"
02.11.2019,"2,49","4,59365977"
03.11.2019,"0,84","3,12976266"
04.11.2019,"9,92","5,13770474"
05.11.2019,"19,18","14,29741843"
06.11.2019,"10,14","9,2498377"
07.11.2019,"16,03","14,10479465"
08.11.2019,"12,94","10,74317564"
09.11.2019,"14,91","11,07536199"
10.11.2019,"14,42","10,80901496"
11.11.2019,"15,19","11,73447157"
12.11.2019,"6,21","9,5040457"
13.11.2019,"11,24","11,13820169"
14.11.2019,"17,9","15,8794206"
15.11.2019,"19,25","17,37200514"
16.11.2019,"18,6","17,61689378"
17.11.2019,"17,87","19,04555806"
18.11.2019,"17,89","17,81188676"
19.11.2019,"18,73","18,57531385"
20.11.2019,"13,04","17,71012943"
21.11.2019,"8,81","11,03783483"
22.11.2019,"11,63","10,66538255"
23.11.2019,"21,23","18,77238656"
24.11.2019,"19,54","18,20818453"
25.11.2019,"1,47","8,00874241"
26.11.2019,"11,93","12,14981567"
27.11.2019,"20,84","20,12760028"
28.11.2019,"19,59","19,78234425"
29.11.2019,"5,08","13,41747656"
Total,"400,25","388,38212277"
