Data,Energia,Previsao
30.09.2019,"14,25","17,10718043"
01.10.2019,"0,94","4,7440059"
02.10.2019,"2,16","2,05744814"
03.10.2019,"4,69","3,77339336"
04.10.2019,"2,21","3,29485531"
05.10.2019,"4,2","5,27550702"
06.10.2019,"14,27","10,55798231"
07.10.2019,"16,87","14,66434845"
08.10.2019,"16,65","16,45818644"
09.10.2019,"15,7","16,00623077"
10.10.2019,"15,43","18,68493594"
11.10.2019,"15,09","19,37606644"
12.10.2019,"10,7","11,90276545"
13.10.2019,"0,97","2,79284499"
14.10.2019,"7,23","4,7055933"
15.10.2019,"3,3","3,87372544"
16.10.2019,"2,3","5,99369263"
17.10.2019,"8,58","9,18178479"
18.10.2019,"17,87","14,03270982"
19.10.2019,"10,03","9,95524565"
20.10.2019,5,"4,95749383"
21.10.2019,"15,91","11,13030796"
22.10.2019,"17,95","16,60950801"
23.10.2019,"18,14","17,32995417"
24.10.2019,"18,33","16,75881043"
25.10.2019,"18,28","16,81164649"
26.10.2019,"0,32","8,58122214"
27.10.2019,"13,46","14,3931509"
28.10.2019,"2,91","11,27088192"
29.10.2019,"2,67","6,16607596"
30.10.2019,"2,63","5,6221649"
Total:,"299,04","324,06971929"
