Estacao,Data,Precipitacao,Umidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,condicao1,condicao2,condicao3,condicao4,condicao5,condicao6,DataEnergia,Energia
83936,3/6/2017,0,89.5,5, 6.66667,20.6,9.4,36,13,15,17,18,18,20,5,5,8,8,8,8,03.06.2017,7.52
83936,4/6/2017,12.2,96.5,0,10,18,15.8,46,17,17,17,17,17,17,3,8,8,8,8,8,04.06.2017,1.74
83936,5/6/2017,2.8,91.75,0,10,16.6,14.6,56,15,15,16,16,16,16,7,8,8,7,8,8,05.06.2017,1.54
83936,6/6/2017,0.4,97,0,10,14.8,13.2,66,12,13,13,13,13,13,8,7,8,8,10,7,06.06.2017,1.11
83936,7/6/2017,0.4,97,0,10,16.4,13.2,76,12,13,16,17,16,17,3,3,8,8,8,7,07.06.2017,1.51
83936,8/6/2017,66.4,91,0.2,10,17.8,14.6,86,16,15,15,15,15,16,14,10,10,10,7,10,08.06.2017,2.08
83936,9/6/2017,6.5,85.25,0.3,10,15,9.2,96,10,10,10,10,10,10,7,8,7,7,7,7,09.06.2017,1.54
83936,10/6/2017,0,78,9.1, 0.333333,18.4,9.2,106,12,15,16,16,17,17,0,0,0,0,0,0,10.06.2017,9.87
83936,11/6/2017,0,88.5,9.1,0,21,5.2,116,10,13,15,17,17,18,0,0,0,0,0,0,11.06.2017,9.53
83936,12/6/2017,0,90.75,8.5,0,18.8,6.6,126,11,12,12,17,17,17,2,2,2,0,0,0,12.06.2017,9.63
83936,13/6/2017,0,97.75,0.3, 6.66667,16,9.6,136,11,11,11,12,12,12,3,3,3,3,3,3,13.06.2017,4.37
83936,14/6/2017,0.1,98.25,0.1,10,14.2,10.4,146,11,12,12,12,12,13,3,3,8,7,3,3,14.06.2017,3.55
83936,15/6/2017,0,89.75,5.1,10,21.2,12.2,156,12,12,15,17,20,20,3,3,8,0,0,0,15.06.2017,7.73
83936,16/6/2017,0,60.25,4.3,9,27.8,17.6,166,22,25,26,27,27,27,0,0,0,0,0,0,16.06.2017,7.05
83936,17/6/2017,0,49,7.9, 6.66667,29.4,21.8,176,22,26,27,27,28,28,1,1,0,0,0,0,17.06.2017,8.22
83936,18/6/2017,4.7,87.5,0, 6.66667,27.4,8.6,186,17,15,16,12,10,10,8,8,8,8,10,10,18.06.2017,0.98
83936,19/6/2017,0,83.5,4, 8.33333,13.8,5.6,196,7,8,10,10,11,11,8,5,8,8,8,8,19.06.2017,3.96
83936,20/6/2017,0,83.25,8.8,0,13.2,1,206,2,6,8,10,11,12,2,2,0,0,0,0,20.06.2017,10.09
83936,21/6/2017,0,87.75,7.8, 4.66667,21.4,5.6,216,7,10,12,17,18,21,8,5,8,0,0,0,21.06.2017,7.7
83936,22/6/2017,0,66,9.1, 2.33333,26.2,11.8,226,17,20,15,22,25,25,0,0,0,0,0,0,22.06.2017,8.85
83936,23/6/2017,0,63.5,8.6, 1.33333,27.4,18,236,20,22,22,23,26,27,0,0,0,0,0,5,23.06.2017,8.99
83936,24/6/2017,0,72.25,8.5,1,28.4,19,246,22,25,27,27,27,25,0,0,0,0,0,0,24.06.2017,8.51
83936,25/6/2017,0,77.5,9.1,1,26.2,15.2,256,20,21,22,23,25,25,0,0,0,0,0,0,25.06.2017,9.06
83936,26/6/2017,0,62.5,5.8,6,25,15,266,20,22,22,23,25,25,0,0,0,0,0,0,26.06.2017,8.09
83936,27/6/2017,0,55.75,8.5, 5.33333,28.6,17,276,20,21,22,23,26,27,0,0,0,0,0,0,27.06.2017,8.56
83936,28/6/2017,0,77.5,1.6, 5.66667,26.6,18.2,286,23,23,23,25,26,27,0,0,0,0,0,8,28.06.2017,2.57
